character_id|name|level|exp|hp|strength|intelligence|dexterity|wisdom
213|"Eos quia dignissimos saepe vel"|0|0|10|1|1|1|1
214|"Ullam neque sint eligendi"|0|0|10|1|1|1|1
215|"Excepturi deleniti ab a"|0|0|10|1|1|1|1
216|Accusa|0|0|10|1|1|1|1
217|"Reiciendis laboriosam di"|0|0|10|1|1|1|1
218|"Delectus ex"|0|0|10|1|1|1|1
219|Pari|0|0|10|1|1|1|1
220|"Veritatis velit facilis iste"|0|0|10|1|1|1|1
221|Dol|0|0|10|1|1|1|1
222|"Qui iste pr"|0|0|10|1|1|1|1
223|Deleni|0|0|10|1|1|1|1
224|"Reprehenderit volu"|0|0|10|1|1|1|1
225|"Accusantium vitae n"|0|0|10|1|1|1|1
226|"Natus consequatur incidun"|0|0|10|1|1|1|1
227|"Dignissimos a"|0|0|10|1|1|1|1
228|"Vitae modi"|0|0|10|1|1|1|1
229|"Accusantium qu"|0|0|10|1|1|1|1
230|"Reiciendis dignissimos ratio"|0|0|10|1|1|1|1
231|"Expedita provident natus volup"|0|0|10|1|1|1|1
232|"Rerum repellat voluptas c"|0|0|10|1|1|1|1
233|"Maiores quos incidunt dolor"|0|0|10|1|1|1|1
234|Aper|0|0|10|1|1|1|1
235|Nulla|0|0|10|1|1|1|1
236|"Laudantium tempora itaque"|0|0|10|1|1|1|1
237|Reprehenderit|0|0|10|1|1|1|1
238|Aliqu|0|0|10|1|1|1|1
239|"Odio harum nam mole"|0|0|10|1|1|1|1
240|Arc|0|0|10|1|1|1|1
241|"Reprehenderit li"|0|0|10|1|1|1|1
242|Repr|0|0|10|1|1|1|1
243|"Optio m"|0|0|10|1|1|1|1
244|"Esse odit amet rep"|0|0|10|1|1|1|1
245|"Provident nostrum minima"|0|0|10|1|1|1|1
246|"Ex nihil quae facilis a omni"|0|0|10|1|1|1|1
247|"Dolorem quaerat sunt"|0|0|10|1|1|1|1
248|Distinctio|0|0|10|1|1|1|1
249|"Repudiandae ip"|0|0|10|1|1|1|1
250|"Iste debitis dolorum amet m"|0|0|10|1|1|1|1
251|"Non qui vo"|0|0|10|1|1|1|1
252|"Dolorem ma"|0|0|10|1|1|1|1
253|"Molestias labore tempore ita"|0|0|10|1|1|1|1
254|Vol|0|0|10|1|1|1|1
255|"Adipisci molest"|0|0|10|1|1|1|1
256|Omni|0|0|10|1|1|1|1
257|"Voluptatibus dolor"|0|0|10|1|1|1|1
258|Quo|0|0|10|1|1|1|1
259|"Atque aspernatur possi"|0|0|10|1|1|1|1
260|"Ullam c"|0|0|10|1|1|1|1
261|"Iusto quas voluptatibu"|0|0|10|1|1|1|1
262|"Optio qui sunt dolores, ab"|0|0|10|1|1|1|1
263|"Illum recusandae nulla re"|0|0|10|1|1|1|1
264|Verita|0|0|10|1|1|1|1
265|"Expedita quod blanditiis"|0|0|10|1|1|1|1
266|Mag|0|0|10|1|1|1|1
267|"Omnis quos aspernatur d"|0|0|10|1|1|1|1
268|"Sunt impedit co"|0|0|10|1|1|1|1
269|"Minima quam ea ad"|0|0|10|1|1|1|1
270|"Suscipit quidem e"|0|0|10|1|1|1|1
271|Harum|0|0|10|1|1|1|1
272|"Dolore laborum ips"|0|0|10|1|1|1|1
273|"Magni veniam earum corporis"|0|0|10|1|1|1|1
274|Optio|0|0|10|1|1|1|1
275|"Nam fugit vel."|0|0|10|1|1|1|1
276|"Ut numquam quam eum, alias ius"|0|0|10|1|1|1|1
277|"Error amet tempore nulla"|0|0|10|1|1|1|1
278|"Deserunt a"|0|0|10|1|1|1|1
279|"Aperiam sit"|0|0|10|1|1|1|1
280|Asperi|0|0|10|1|1|1|1
281|"Similique aperiam earum expli"|0|0|10|1|1|1|1
282|"Iure h"|0|0|10|1|1|1|1
283|"At sint ducimus nostrum i"|0|0|10|1|1|1|1
284|"Reprehenderit temporib"|0|0|10|1|1|1|1
285|"Molestiae quaerat maxim"|0|0|10|1|1|1|1
286|Maior|0|0|10|1|1|1|1
287|"Unde natus ut ipsa cupi"|0|0|10|1|1|1|1
288|"Praesentium atque ear"|0|0|10|1|1|1|1
289|"Rem minima"|0|0|10|1|1|1|1
290|"Provident sed soluta, sed si"|0|0|10|1|1|1|1
291|"Natus quia veritatis"|0|0|10|1|1|1|1
292|"Vero a"|0|0|10|1|1|1|1
293|"Optio harum labori"|0|0|10|1|1|1|1
294|Duci|0|0|10|1|1|1|1
295|"Ipsa elige"|0|0|10|1|1|1|1
296|"Sunt blanditiis i"|0|0|10|1|1|1|1
297|Doloremque|0|0|10|1|1|1|1
298|"Autem ratione vitae quos, do"|0|0|10|1|1|1|1
299|"Voluptatibus aliquid"|0|0|10|1|1|1|1
300|"Quaerat sequi sit eius corpori"|0|0|10|1|1|1|1
301|Libe|0|0|10|1|1|1|1
302|"Aliquam n"|0|0|10|1|1|1|1
