id,member_id,loan_amnt,funded_amnt,term,int_rate,grade,home_ownership,loan_status
1067287,1301658.0,13500.0,13500.0, 36 months, 12.69%,B,RENT,Fully Paid
682634,871862.0,4200.0,4200.0, 36 months, 16.02%,D,MORTGAGE,Charged Off
431643,512457.0,1250.0,1250.0, 36 months, 11.83%,B,OWN,Fully Paid
1044248,1274610.0,5000.0,5000.0, 36 months, 12.42%,B,RENT,Fully Paid
1053401,1284990.0,8000.0,8000.0, 36 months, 12.42%,B,MORTGAGE,Fully Paid
494719,633478.0,3000.0,3000.0, 36 months, 14.96%,D,RENT,Fully Paid
810622,1017559.0,12000.0,12000.0, 60 months, 16.49%,D,MORTGAGE,Fully Paid
1016763,1244280.0,4000.0,4000.0, 36 months, 10.65%,B,MORTGAGE,Fully Paid
1010915,1237960.0,15600.0,15600.0, 36 months, 19.42%,E,MORTGAGE,Charged Off
348235,349217.0,2000.0,2000.0, 36 months,  8.32%,A,RENT,Does not meet the credit policy. Status:Fully Paid
504347,649372.0,4000.0,4000.0, 36 months, 11.36%,B,RENT,Fully Paid
765295,966157.0,11400.0,11400.0, 60 months, 16.49%,D,MORTGAGE,Fully Paid
638457,817842.0,10000.0,10000.0, 60 months,  9.62%,B,MORTGAGE,Fully Paid
830454,1039625.0,6800.0,6800.0, 36 months,  8.49%,A,OWN,Fully Paid
860825,1073641.0,6750.0,6750.0, 36 months,  5.99%,A,RENT,Fully Paid
866257,1079719.0,10000.0,10000.0, 60 months, 16.49%,D,MORTGAGE,Fully Paid
821606,1029968.0,2500.0,2500.0, 36 months,  5.42%,A,MORTGAGE,Fully Paid
607800,779671.0,2000.0,2000.0, 36 months, 10.36%,B,RENT,Fully Paid
1034262,1263856.0,8500.0,8500.0, 60 months, 20.30%,E,RENT,Fully Paid
613950,787114.0,20000.0,2650.0, 36 months,  6.91%,A,RENT,Fully Paid
720788,915272.0,10000.0,10000.0, 60 months, 13.43%,C,RENT,Charged Off
439546,531153.0,3000.0,3000.0, 36 months, 12.87%,C,RENT,Does not meet the credit policy. Status:Charged Off
764779,965541.0,6400.0,6400.0, 36 months,  6.99%,A,MORTGAGE,Fully Paid
428880,507853.0,1400.0,1400.0, 36 months, 12.84%,C,OWN,Fully Paid
568912,722236.0,5000.0,5000.0, 36 months,  7.51%,A,MORTGAGE,Fully Paid
1048727,1279694.0,22000.0,22000.0, 60 months, 14.65%,C,MORTGAGE,Current
1010410,1237220.0,6000.0,6000.0, 36 months, 16.29%,D,RENT,Charged Off
607333,779127.0,10000.0,10000.0, 36 months,  5.42%,A,RENT,Fully Paid
676285,864250.0,15875.0,15875.0, 60 months, 15.28%,D,RENT,Fully Paid
1057482,1289043.0,28000.0,28000.0, 36 months, 11.71%,B,MORTGAGE,Fully Paid
788687,992449.0,5000.0,5000.0, 36 months,  6.99%,A,MORTGAGE,Fully Paid
783094,986172.0,2650.0,2650.0, 36 months,  7.49%,A,OWN,Fully Paid
476012,602834.0,2400.0,2400.0, 36 months, 17.74%,E,RENT,Does not meet the credit policy. Status:Fully Paid
845164,1056329.0,12375.0,12375.0, 36 months, 10.99%,B,MORTGAGE,Fully Paid
891428,1108211.0,10625.0,10625.0, 36 months,  6.62%,A,MORTGAGE,Fully Paid
981976,1205161.0,8400.0,8400.0, 36 months, 14.65%,C,MORTGAGE,Charged Off
1062177,1294027.0,15000.0,15000.0, 36 months, 17.27%,D,MORTGAGE,Fully Paid
385028,416522.0,5500.0,5500.0, 36 months, 14.74%,D,RENT,Fully Paid
568448,731283.0,25000.0,25000.0, 36 months, 11.12%,B,MORTGAGE,Fully Paid
463722,580724.0,6000.0,6000.0, 36 months,  8.94%,A,RENT,Charged Off
480707,611174.0,13000.0,13000.0, 36 months, 14.59%,D,RENT,Fully Paid
813170,1020598.0,20000.0,14275.0, 60 months, 13.49%,C,RENT,Fully Paid
527946,682846.0,7500.0,7500.0, 60 months, 10.75%,B,RENT,Fully Paid
526165,680718.0,20000.0,12725.0, 60 months, 16.45%,E,OWN,Does not meet the credit policy. Status:Fully Paid
579433,744962.0,15000.0,15000.0, 36 months,  7.88%,A,MORTGAGE,Fully Paid
1057522,1289087.0,35000.0,22600.0, 60 months, 19.03%,E,MORTGAGE,Fully Paid
601257,771559.0,3250.0,3250.0, 60 months,  6.91%,A,MORTGAGE,Charged Off
603290,774105.0,15000.0,15000.0, 36 months,  6.54%,A,MORTGAGE,Fully Paid
617698,791893.0,4000.0,4000.0, 36 months,  9.25%,B,MORTGAGE,Fully Paid
601926,772333.0,3250.0,3250.0, 36 months,  6.91%,A,RENT,Fully Paid
864744,1077981.0,3375.0,3375.0, 36 months, 14.79%,C,MORTGAGE,Fully Paid
715946,909683.0,35000.0,35000.0, 60 months, 10.37%,B,MORTGAGE,Fully Paid
853010,1058931.0,11600.0,11600.0, 36 months, 11.99%,B,MORTGAGE,Fully Paid
646327,826959.0,20000.0,20000.0, 36 months,  6.54%,A,MORTGAGE,Fully Paid
802435,975174.0,18325.0,18325.0, 36 months,  7.49%,A,MORTGAGE,Fully Paid
646705,827423.0,9000.0,9000.0, 36 months, 12.23%,C,OWN,Fully Paid
279032,279020.0,12000.0,12000.0, 36 months,  8.32%,A,MORTGAGE,Fully Paid
864147,1077309.0,5000.0,5000.0, 36 months,  5.42%,A,MORTGAGE,Fully Paid
598435,768044.0,10000.0,10000.0, 36 months, 14.09%,D,RENT,Does not meet the credit policy. Status:Fully Paid
367398,380955.0,10000.0,10000.0, 36 months, 14.74%,D,MORTGAGE,Charged Off
474610,436891.0,4900.0,4900.0, 36 months, 14.61%,D,MORTGAGE,Does not meet the credit policy. Status:Fully Paid
1034771,1264395.0,10000.0,10000.0, 36 months, 15.27%,C,RENT,Fully Paid
1041802,1271837.0,12000.0,12000.0, 60 months, 14.27%,C,RENT,Charged Off
1033173,1262733.0,19075.0,19075.0, 60 months, 20.30%,E,RENT,Current
987586,1211612.0,13800.0,13800.0, 36 months,  8.90%,A,MORTGAGE,Fully Paid
636387,815252.0,10000.0,10000.0, 36 months,  6.17%,A,RENT,Fully Paid
199889,199865.0,2000.0,2000.0, 36 months, 13.30%,D,RENT,Fully Paid
473442,598340.0,15000.0,15000.0, 36 months, 12.18%,B,MORTGAGE,Fully Paid
773092,975107.0,8000.0,8000.0, 36 months, 17.49%,D,RENT,Charged Off
794824,999478.0,5000.0,5000.0, 36 months,  9.99%,B,MORTGAGE,Fully Paid
350405,352464.0,7500.0,7500.0, 36 months, 11.03%,C,RENT,Fully Paid
1012582,1239510.0,4000.0,4000.0, 60 months, 15.27%,C,RENT,Fully Paid
561698,722859.0,7500.0,7500.0, 36 months, 15.58%,D,MORTGAGE,Fully Paid
309059,306632.0,25000.0,7850.0, 36 months, 13.24%,D,MORTGAGE,Charged Off
625349,801414.0,16000.0,11150.0, 60 months,  9.99%,B,RENT,Fully Paid
865863,1079142.0,3200.0,3200.0, 36 months,  8.49%,A,OWN,Fully Paid
508022,655390.0,17000.0,17000.0, 36 months,  7.88%,A,MORTGAGE,Fully Paid
788299,991975.0,6000.0,6000.0, 36 months, 16.49%,D,RENT,Fully Paid
612160,784946.0,4800.0,4800.0, 36 months,  9.99%,B,MORTGAGE,Fully Paid
438597,528626.0,6500.0,6500.0, 36 months,  7.40%,A,OWN,Fully Paid
806723,1012942.0,21000.0,21000.0, 36 months, 11.99%,B,RENT,Fully Paid
772296,974215.0,19200.0,19200.0, 36 months,  9.99%,B,RENT,Fully Paid
503843,648529.0,10000.0,10000.0, 36 months,  9.88%,B,RENT,Fully Paid
682246,871383.0,4250.0,4250.0, 36 months, 12.68%,C,RENT,Charged Off
823220,1031768.0,8000.0,8000.0, 60 months, 13.49%,C,RENT,Fully Paid
600058,770178.0,7000.0,7000.0, 36 months,  9.99%,B,RENT,Fully Paid
73582,73096.0,3500.0,3500.0, 36 months, 10.28%,C,RENT,Does not meet the credit policy. Status:Fully Paid
992222,1216520.0,25000.0,25000.0, 60 months, 13.49%,C,OWN,Current
482644,613980.0,10000.0,10000.0, 36 months, 10.99%,B,MORTGAGE,Fully Paid
871021,1085079.0,4000.0,4000.0, 36 months,  5.99%,A,RENT,Fully Paid
774240,976400.0,11000.0,11000.0, 36 months, 13.49%,C,RENT,Fully Paid
547544,705987.0,10000.0,10000.0, 36 months,  7.88%,A,RENT,Fully Paid
714769,908227.0,10000.0,10000.0, 60 months, 17.88%,E,MORTGAGE,Charged Off
471912,595813.0,21500.0,21500.0, 36 months, 11.83%,B,OWN,Fully Paid
891012,1107730.0,7000.0,7000.0, 36 months, 18.64%,E,MORTGAGE,Fully Paid
585755,752560.0,5000.0,5000.0, 36 months,  7.88%,A,MORTGAGE,Charged Off
1067179,1301534.0,6000.0,6000.0, 36 months,  8.90%,A,RENT,Fully Paid
642871,822772.0,3250.0,3250.0, 36 months,  5.79%,A,OWN,Fully Paid
629111,806051.0,2500.0,2500.0, 36 months, 12.98%,C,RENT,Fully Paid
614368,787616.0,18000.0,12650.0, 60 months,  9.99%,B,MORTGAGE,Fully Paid
351386,353992.0,4000.0,4000.0, 36 months, 13.87%,D,RENT,Does not meet the credit policy. Status:Fully Paid
630486,807748.0,4000.0,4000.0, 36 months, 16.32%,E,RENT,Fully Paid
702315,894166.0,6000.0,6000.0, 36 months,  6.92%,A,MORTGAGE,Fully Paid
760475,960751.0,1200.0,1200.0, 36 months, 15.23%,C,RENT,Fully Paid
536578,693181.0,25000.0,23075.0, 60 months, 15.58%,D,RENT,Does not meet the credit policy. Status:Fully Paid
970003,1191253.0,2400.0,2400.0, 36 months, 16.29%,D,RENT,Fully Paid
1047604,1278501.0,8000.0,8000.0, 36 months, 12.69%,B,RENT,Charged Off
456373,566655.0,6000.0,6000.0, 36 months, 15.31%,D,RENT,Fully Paid
727624,923155.0,24000.0,24000.0, 60 months, 12.68%,C,MORTGAGE,Fully Paid
841438,1051993.0,25000.0,25000.0, 60 months, 13.49%,C,MORTGAGE,Fully Paid
547732,706264.0,6250.0,6250.0, 36 months, 10.38%,B,OWN,Fully Paid
631857,809441.0,12000.0,12000.0, 60 months, 14.83%,D,MORTGAGE,Fully Paid
1030924,1260527.0,20000.0,20000.0, 60 months, 18.25%,D,RENT,Fully Paid
521336,674149.0,6000.0,6000.0, 36 months, 10.75%,B,RENT,Fully Paid
515981,666932.0,4800.0,4800.0, 36 months, 13.85%,C,RENT,Fully Paid
1016171,1243670.0,20375.0,20375.0, 60 months, 17.27%,D,MORTGAGE,Fully Paid
577468,742586.0,2400.0,2400.0, 60 months, 17.19%,E,RENT,Fully Paid
638808,818259.0,20000.0,20000.0, 36 months,  6.17%,A,MORTGAGE,Fully Paid
706981,899270.0,6600.0,6600.0, 36 months, 13.06%,C,RENT,Charged Off
575540,740268.0,25000.0,25000.0, 36 months, 11.86%,B,MORTGAGE,Fully Paid
836483,1046530.0,5000.0,5000.0, 36 months, 13.49%,C,RENT,Charged Off
744868,943384.0,15000.0,15000.0, 60 months, 11.99%,B,MORTGAGE,Fully Paid
636698,815623.0,10800.0,10800.0, 36 months,  6.17%,A,RENT,Fully Paid
592478,760931.0,8000.0,5425.0, 36 months,  6.17%,A,RENT,Fully Paid
514680,665304.0,12000.0,12000.0, 36 months, 15.33%,D,RENT,Charged Off
1052681,1284244.0,6025.0,6025.0, 36 months, 11.71%,B,RENT,Fully Paid
892696,1109714.0,6000.0,6000.0, 36 months,  7.90%,A,RENT,Fully Paid
557573,717873.0,18000.0,18000.0, 36 months, 14.72%,C,MORTGAGE,Fully Paid
849141,1060836.0,6350.0,6350.0, 60 months, 12.99%,C,RENT,Fully Paid
545583,703644.0,2500.0,2500.0, 36 months, 13.98%,C,RENT,Does not meet the credit policy. Status:Fully Paid
636986,815966.0,15000.0,15000.0, 60 months, 17.43%,E,RENT,Fully Paid
985127,1208604.0,12000.0,12000.0, 60 months, 19.91%,E,MORTGAGE,Charged Off
524737,678935.0,6000.0,6000.0, 36 months, 11.86%,B,RENT,Fully Paid
1012242,1239357.0,10000.0,10000.0, 60 months, 17.27%,D,MORTGAGE,Fully Paid
489520,624624.0,12000.0,12000.0, 36 months, 14.96%,D,RENT,Fully Paid
481470,607254.0,11000.0,11000.0, 36 months, 14.22%,C,RENT,Fully Paid
780798,983606.0,5000.0,5000.0, 36 months, 15.62%,C,RENT,Charged Off
1061251,1293059.0,5000.0,5000.0, 36 months,  8.90%,A,RENT,Fully Paid
445938,544954.0,24000.0,24000.0, 36 months, 13.92%,C,RENT,Fully Paid
872960,1087243.0,15000.0,15000.0, 36 months, 12.99%,C,RENT,Fully Paid
545648,703720.0,6500.0,6500.0, 36 months, 16.45%,E,OWN,Fully Paid
510598,659309.0,20000.0,20000.0, 36 months, 11.36%,B,RENT,Fully Paid
1021164,1249959.0,7800.0,7800.0, 36 months,  7.90%,A,RENT,Fully Paid
241502,241486.0,3000.0,3000.0, 36 months,  8.32%,A,RENT,Fully Paid
712603,905732.0,8000.0,8000.0, 36 months, 10.74%,B,RENT,Charged Off
604655,775705.0,10000.0,10000.0, 36 months,  6.91%,A,RENT,Fully Paid
611256,783875.0,20000.0,12100.0, 36 months,  6.54%,A,OWN,Fully Paid
1047952,1279076.0,13000.0,13000.0, 60 months,  9.91%,B,RENT,Fully Paid
665470,850810.0,8400.0,8400.0, 36 months, 11.11%,B,MORTGAGE,Fully Paid
549867,708834.0,8000.0,8000.0, 60 months, 16.32%,D,MORTGAGE,Fully Paid
565432,727467.0,1550.0,1550.0, 36 months, 15.21%,D,RENT,Fully Paid
535385,691805.0,15000.0,15000.0, 36 months, 13.23%,C,MORTGAGE,Fully Paid
373485,393566.0,2000.0,2000.0, 36 months,  7.68%,A,RENT,Fully Paid
1059210,1290814.0,16000.0,16000.0, 36 months, 16.29%,D,MORTGAGE,Fully Paid
599823,769905.0,14000.0,14000.0, 60 months,  8.88%,B,MORTGAGE,Fully Paid
351462,353969.0,7500.0,7500.0, 36 months,  8.32%,A,RENT,Fully Paid
878753,1093574.0,9950.0,9950.0, 60 months, 10.65%,B,RENT,Fully Paid
642834,822735.0,7700.0,7700.0, 36 months,  6.91%,A,MORTGAGE,Fully Paid
353062,356532.0,7000.0,5600.0, 36 months, 12.54%,C,RENT,Fully Paid
572284,736125.0,15000.0,15000.0, 36 months, 15.95%,D,MORTGAGE,Fully Paid
637535,816659.0,4000.0,4000.0, 60 months, 13.35%,C,RENT,Fully Paid
851142,1063038.0,11975.0,11975.0, 36 months, 16.29%,D,RENT,Fully Paid
475974,602779.0,11000.0,11000.0, 36 months, 16.35%,E,RENT,Fully Paid
794415,999037.0,9450.0,9450.0, 36 months, 10.99%,B,MORTGAGE,Fully Paid
587520,754831.0,8000.0,8000.0, 60 months,  7.88%,A,MORTGAGE,Fully Paid
388587,422149.0,6800.0,6800.0, 36 months, 14.11%,D,RENT,Fully Paid
1037470,1267363.0,12800.0,12800.0, 36 months, 13.49%,C,OWN,Fully Paid
474768,600664.0,2825.0,2825.0, 36 months, 14.96%,D,MORTGAGE,Does not meet the credit policy. Status:Fully Paid
499744,641565.0,3000.0,3000.0, 36 months, 12.73%,C,RENT,Does not meet the credit policy. Status:Charged Off
1065350,1299445.0,9000.0,9000.0, 36 months, 12.69%,B,RENT,Fully Paid
613455,786523.0,12000.0,12000.0, 60 months, 13.72%,C,MORTGAGE,Fully Paid
449093,551497.0,5000.0,5000.0, 36 months, 12.53%,B,RENT,Fully Paid
754870,954625.0,12000.0,12000.0, 36 months,  8.49%,A,MORTGAGE,Fully Paid
625868,802035.0,10200.0,10200.0, 60 months, 13.72%,C,MORTGAGE,Fully Paid
587316,754542.0,5400.0,5400.0, 36 months, 15.21%,D,MORTGAGE,Fully Paid
547630,706136.0,7500.0,7500.0, 36 months, 11.86%,B,RENT,Fully Paid
219502,219497.0,6000.0,6000.0, 36 months, 14.88%,E,RENT,Does not meet the credit policy. Status:Fully Paid
655520,838380.0,6000.0,6000.0, 60 months, 16.77%,E,MORTGAGE,Fully Paid
744847,943358.0,8000.0,8000.0, 60 months, 21.36%,F,MORTGAGE,Fully Paid
571522,735153.0,8000.0,8000.0, 60 months, 15.21%,D,RENT,Fully Paid
1031139,1260774.0,16000.0,16000.0, 60 months, 15.96%,C,MORTGAGE,Fully Paid
967350,1188277.0,5600.0,5600.0, 36 months, 11.71%,B,MORTGAGE,Charged Off
447472,548186.0,8000.0,8000.0, 36 months, 13.92%,C,RENT,Fully Paid
513100,662943.0,13000.0,13000.0, 36 months, 15.70%,D,RENT,Charged Off
418079,487756.0,2000.0,2000.0, 36 months, 14.42%,D,MORTGAGE,Does not meet the credit policy. Status:Fully Paid
813191,1020621.0,12600.0,12600.0, 36 months, 11.99%,B,RENT,Fully Paid
1029839,1259417.0,17050.0,17050.0, 36 months, 14.27%,C,MORTGAGE,Fully Paid
1047002,1277867.0,11000.0,11000.0, 36 months, 12.42%,B,RENT,Fully Paid
700073,891717.0,12900.0,12900.0, 60 months, 16.02%,D,MORTGAGE,Fully Paid
862786,1075842.0,18000.0,18000.0, 36 months, 11.99%,B,MORTGAGE,Fully Paid
677988,866227.0,2600.0,2600.0, 36 months, 16.77%,E,RENT,Fully Paid
700298,891952.0,35000.0,35000.0, 36 months, 17.88%,E,MORTGAGE,Fully Paid
980230,1203405.0,15200.0,15200.0, 60 months, 19.03%,E,MORTGAGE,Current
620313,781845.0,9000.0,6450.0, 36 months,  6.17%,A,RENT,Fully Paid
441601,535839.0,13000.0,13000.0, 36 months, 11.14%,B,RENT,Fully Paid
820989,1029245.0,10000.0,10000.0, 36 months,  7.49%,A,RENT,Fully Paid
380233,407426.0,7000.0,7000.0, 36 months, 13.16%,C,RENT,Fully Paid
1045970,1276598.0,10000.0,10000.0, 36 months,  7.51%,A,MORTGAGE,Fully Paid
870061,1084001.0,25000.0,25000.0, 36 months,  7.49%,A,MORTGAGE,Charged Off
870800,1084791.0,12000.0,12000.0, 36 months,  5.42%,A,RENT,Fully Paid
232302,232232.0,25000.0,25000.0, 36 months,  9.83%,B,MORTGAGE,Fully Paid
622844,798237.0,1400.0,1400.0, 60 months, 18.54%,F,OWN,Charged Off
656389,839520.0,25000.0,25000.0, 60 months, 15.28%,D,MORTGAGE,Fully Paid
511154,660205.0,5000.0,5000.0, 36 months,  7.51%,A,MORTGAGE,Fully Paid
729958,925847.0,1200.0,1200.0, 36 months, 14.91%,D,RENT,Fully Paid
500917,643592.0,9000.0,9000.0, 36 months, 14.59%,D,RENT,Fully Paid
589422,757198.0,12000.0,12000.0, 60 months, 16.82%,E,OWN,Fully Paid
251944,251937.0,1500.0,1500.0, 36 months, 14.18%,E,OWN,Does not meet the credit policy. Status:Fully Paid
734475,930998.0,24000.0,24000.0, 60 months, 20.85%,G,RENT,Fully Paid
802733,1008413.0,6000.0,6000.0, 36 months,  5.42%,A,MORTGAGE,Fully Paid
1041284,1271517.0,3000.0,3000.0, 36 months, 11.71%,B,MORTGAGE,Fully Paid
491716,628497.0,10000.0,10000.0, 36 months,  7.14%,A,MORTGAGE,Fully Paid
364280,374770.0,10800.0,10800.0, 36 months, 12.09%,C,RENT,Charged Off
651982,833923.0,25000.0,25000.0, 60 months, 14.91%,D,MORTGAGE,Fully Paid
518208,669814.0,25000.0,16350.0, 60 months, 17.93%,E,RENT,Charged Off
886664,1102665.0,10400.0,10400.0, 60 months, 17.58%,D,RENT,Charged Off
883270,1098524.0,2400.0,2400.0, 36 months, 10.65%,B,RENT,Fully Paid
754260,953962.0,16000.0,10800.0, 60 months, 18.79%,E,RENT,Fully Paid
1055260,1286814.0,3500.0,3500.0, 36 months, 10.65%,B,MORTGAGE,Charged Off
1001552,1227352.0,8000.0,8000.0, 36 months, 12.69%,B,OWN,Fully Paid
891893,1108761.0,30000.0,30000.0, 60 months, 19.03%,E,MORTGAGE,Fully Paid
802075,1007698.0,5000.0,5000.0, 36 months, 15.23%,C,MORTGAGE,Fully Paid
524889,679161.0,9000.0,9000.0, 36 months,  7.88%,A,MORTGAGE,Fully Paid
790567,994724.0,16000.0,16000.0, 36 months, 12.99%,C,RENT,Fully Paid
479268,608904.0,5000.0,5000.0, 36 months,  7.51%,A,RENT,Fully Paid
901278,1121829.0,9750.0,9750.0, 36 months, 18.25%,D,RENT,Fully Paid
130738,130732.0,5100.0,5100.0, 36 months, 17.86%,G,MORTGAGE,Does not meet the credit policy. Status:Charged Off
1034865,1264496.0,5000.0,5000.0, 36 months, 15.96%,C,RENT,Charged Off
360501,368309.0,3900.0,3900.0, 36 months, 10.51%,B,MORTGAGE,Fully Paid
732719,928950.0,5000.0,5000.0, 36 months, 13.80%,C,RENT,Fully Paid
1039478,1269412.0,21500.0,21500.0, 60 months, 19.03%,E,RENT,Charged Off
1028864,1258219.0,4900.0,4900.0, 36 months,  6.03%,A,MORTGAGE,Fully Paid
643255,823235.0,5000.0,5000.0, 36 months, 12.23%,C,RENT,Fully Paid
784950,988208.0,4000.0,4000.0, 36 months,  5.42%,A,MORTGAGE,Fully Paid
1030338,1259947.0,20000.0,20000.0, 36 months, 16.77%,D,RENT,Fully Paid
534354,690608.0,18000.0,18000.0, 60 months, 15.58%,D,OWN,Charged Off
597395,766818.0,19750.0,13175.0, 60 months, 11.86%,B,MORTGAGE,Fully Paid
356558,361919.0,6000.0,5500.0, 36 months, 12.86%,D,RENT,Fully Paid
616589,783222.0,11200.0,11200.0, 36 months,  9.99%,B,RENT,Fully Paid
578204,743440.0,25000.0,25000.0, 60 months, 11.86%,B,MORTGAGE,Fully Paid
634355,812661.0,16000.0,16000.0, 60 months, 15.95%,E,MORTGAGE,Fully Paid
1009939,1236919.0,30000.0,30000.0, 60 months, 15.96%,C,RENT,Fully Paid
546535,704753.0,4800.0,4800.0, 36 months,  5.79%,A,MORTGAGE,Fully Paid
459627,573049.0,4650.0,4650.0, 36 months, 13.22%,C,OWN,Fully Paid
652534,834543.0,14000.0,14000.0, 60 months, 18.99%,F,MORTGAGE,Fully Paid
997845,1221544.0,3000.0,3000.0, 60 months, 19.42%,E,RENT,Fully Paid
1000903,1226673.0,20000.0,20000.0, 60 months, 10.65%,B,MORTGAGE,Fully Paid
266874,266860.0,18000.0,18000.0, 36 months, 17.34%,G,MORTGAGE,Does not meet the credit policy. Status:Charged Off
467252,587545.0,12000.0,12000.0, 36 months, 14.96%,D,RENT,Does not meet the credit policy. Status:Fully Paid
669582,856163.0,7000.0,7000.0, 36 months,  6.92%,A,MORTGAGE,Fully Paid
713395,906613.0,5200.0,5200.0, 36 months,  9.63%,B,MORTGAGE,Fully Paid
891125,1107850.0,1400.0,1400.0, 36 months, 14.27%,C,RENT,Fully Paid
767598,968745.0,15775.0,15775.0, 36 months, 10.99%,B,RENT,Fully Paid
1018772,1247026.0,15000.0,15000.0, 36 months,  6.03%,A,OWN,Fully Paid
861767,1074683.0,10000.0,10000.0, 36 months, 13.49%,C,RENT,Fully Paid
829594,1038697.0,12000.0,12000.0, 60 months, 13.49%,C,RENT,Fully Paid
978420,1201258.0,12000.0,12000.0, 60 months, 12.42%,B,MORTGAGE,Current
671210,858110.0,7000.0,7000.0, 36 months,  5.79%,A,MORTGAGE,Fully Paid
504750,650060.0,18000.0,18000.0, 36 months, 13.11%,C,RENT,Fully Paid
478835,608059.0,3000.0,3000.0, 36 months, 10.99%,B,RENT,Fully Paid
641066,820620.0,2500.0,2500.0, 60 months, 14.83%,D,MORTGAGE,Does not meet the credit policy. Status:Fully Paid
266131,266043.0,14000.0,14000.0, 36 months, 12.92%,D,MORTGAGE,Does not meet the credit policy. Status:Charged Off
982991,1206005.0,14000.0,14000.0, 36 months,  6.03%,A,MORTGAGE,Fully Paid
527996,682902.0,12250.0,12250.0, 36 months,  7.51%,A,MORTGAGE,Fully Paid
543277,700938.0,6000.0,6000.0, 60 months, 11.86%,B,RENT,Fully Paid
474791,600697.0,18000.0,18000.0, 36 months, 16.70%,E,MORTGAGE,Does not meet the credit policy. Status:Fully Paid
857053,1069474.0,19200.0,19200.0, 36 months,  6.99%,A,RENT,Fully Paid
382913,243788.0,3200.0,3200.0, 36 months,  8.00%,A,MORTGAGE,Fully Paid
516403,667436.0,12000.0,12000.0, 60 months, 14.59%,D,MORTGAGE,Does not meet the credit policy. Status:Fully Paid
869138,1083035.0,4800.0,4800.0, 60 months, 11.99%,B,RENT,Fully Paid
695082,886125.0,12000.0,12000.0, 36 months, 10.37%,B,MORTGAGE,Fully Paid
715976,899980.0,10000.0,10000.0, 60 months, 13.43%,C,OWN,Fully Paid
421049,494729.0,4000.0,4000.0, 36 months,  9.32%,A,MORTGAGE,Fully Paid
480637,603658.0,3700.0,3700.0, 36 months,  7.74%,A,RENT,Fully Paid
462644,578890.0,13000.0,13000.0, 36 months, 13.57%,C,RENT,Fully Paid
692136,882779.0,22000.0,22000.0, 36 months, 13.06%,C,MORTGAGE,Fully Paid
1018910,1226357.0,6450.0,6450.0, 60 months, 18.64%,E,OWN,Current
499173,640558.0,2500.0,2500.0, 36 months, 11.36%,B,RENT,Fully Paid
1065513,1299629.0,18000.0,18000.0, 60 months, 16.77%,D,OWN,Charged Off
1060880,1292848.0,9000.0,9000.0, 36 months, 14.65%,C,RENT,Fully Paid
1067066,1301436.0,24000.0,24000.0, 36 months, 12.69%,B,RENT,Fully Paid
832304,1041666.0,2000.0,2000.0, 36 months,  5.42%,A,RENT,Charged Off
431443,512090.0,4800.0,4800.0, 36 months, 13.22%,C,RENT,Fully Paid
